target,kepid,kepler_name,ra,dec,teff,srad,smass,dist_pc
KIC 10844890,10844890,,283.34427,48.223911,5773.0,0.939,0.967,
KIC 9536692,9536692,,295.849,46.18129,5215.0,0.882,0.808,
KIC 4636578,4636578,Kepler-350,285.41962,39.706108,6188.0,1.465,1.111,956.859
KIC 11923284,11923284,Kepler-1061,296.23001,50.27523,5919.0,1.0,0.994,543.375
KIC 9838975,9838975,,295.03354,46.600151,5190.0,0.66,0.732,
KIC 5621125,5621125,Kepler-959,292.17117,40.811378,6327.0,7.663,2.646,807.729
KIC 9872283,9872283,Kepler-960,281.45718,46.746471,4854.0,1.749,0.97,284.916
KIC 10666242,10666242,,292.09824,47.940819,5671.0,0.955,1.054,
KIC 8624520,8624520,,291.68329,44.75164,5227.0,0.64,0.628,
KIC 7870032,7870032,Kepler-961,282.03549,43.631271,5497.0,0.872,0.901,574.314
KIC 9597058,9597058,Kepler-962,295.31314,46.237492,5365.0,0.834,0.873,411.486
KIC 4035640,4035640,Kepler-995,284.61572,39.131039,5132.0,0.886,0.82,609.638
KIC 6205228,6205228,Kepler-996,291.91281,41.533611,5714.0,1.208,0.999,1216.58
KIC 11758544,11758544,Kepler-997,289.23337,49.938931,6045.0,1.629,1.133,467.568
KIC 4851530,4851530,,295.9024,39.918362,5275.0,0.796,0.739,
KIC 3118797,3118797,Kepler-1024,291.95099,38.251701,5383.0,0.759,0.851,1087.4
KIC 6300348,6300348,,296.1398,41.60318,6106.0,0.94,1.013,
KIC 7102316,7102316,Kepler-351,286.4527,42.657879,5642.0,0.846,0.91,1083.91
KIC 9489524,9489524,Kepler-352,299.89651,46.051971,5208.0,0.772,0.796,252.733
KIC 5940165,5940165,Kepler-1062,283.89941,41.221611,4458.0,0.658,0.645,397.455
KIC 8277797,8277797,Kepler-322,281.34882,44.295238,5390.0,0.876,0.883,400.48
KIC 5124667,5124667,Kepler-1672,297.94016,40.278629,5504.0,1.737,1.099,391.181
KIC 2989404,2989404,Kepler-323,291.38223,38.127468,6015.0,1.081,0.998,454.883
KIC 11413812,11413812,Kepler-998,296.75415,49.20874,5988.0,0.934,1.021,986.364
