target,kepid,kepler_name,ra,dec,teff,srad,smass,dist_pc
KIC 6891637,6891637,,298.8222,42.394642,4408.0,0.529,0.528,
KIC 6975615,6975615,,298.49808,42.466412,5266.0,0.749,0.702,
KIC 7137725,7137725,,297.12173,42.673321,6526.0,1.426,1.226,
KIC 10153855,10153855,Kepler-1037,296.34103,47.17086,5265.0,1.002,0.919,446.914
KIC 10230571,10230571,,299.2529,47.278999,,,,
KIC 10294613,10294613,,298.73807,47.381741,5431.0,0.843,0.945,
KIC 7879648,7879648,,287.24149,43.679661,5815.0,0.87,0.913,
KIC 10491044,10491044,,298.77988,47.66095,5003.0,0.707,0.681,
KIC 10614012,10614012,,296.92874,47.88295,5067.0,8.121,1.812,
KIC 10616415,10616415,,297.61398,47.811401,4972.0,4.034,1.668,
KIC 6525193,6525193,,292.71729,41.901218,5834.0,1.023,1.132,
KIC 6866251,6866251,,292.74707,42.379929,5254.0,3.761,1.653,
KIC 7117710,7117710,,291.77136,42.671249,5403.0,0.888,0.998,
KIC 7762723,7762723,Kepler-1867,294.99725,43.435921,5693.0,0.816,0.911,680.583
KIC 4178606,4178606,Kepler-1326,296.22214,39.268959,6864.0,2.632,1.535,698.326
KIC 5980208,5980208,Kepler-1331,297.07379,41.22448,4258.0,0.622,0.61,319.197
KIC 5303557,5303557,,298.57697,40.490395,5780.0,1.0,1.0,
KIC 10227863,10227863,,298.55258,47.247318,5751.0,1.035,0.956,
KIC 7281668,7281668,,291.67123,42.812359,5629.0,0.87,0.987,
KIC 8036287,8036287,Kepler-1537,294.38538,43.82547,5305.0,1.449,0.939,517.292
KIC 9602562,9602562,,297.1322,46.256489,5950.0,1.114,1.126,
KIC 10668665,10668665,,293.09589,47.996578,6377.0,1.158,1.225,
KIC 10407020,10407020,,292.76535,47.512272,6985.0,2.187,1.502,
KIC 7380829,7380829,,296.74991,42.952358,5999.0,0.996,0.945,
KIC 7470491,7470491,,298.14603,43.075199,3705.0,89.806,1.847,
KIC 7768952,7768952,,296.80951,43.450851,5461.0,3.301,1.463,
KIC 8162790,8162790,,290.73578,44.090488,5636.0,0.913,0.881,
KIC 9655129,9655129,,294.24811,46.374008,5334.0,0.81,0.743,
KIC 9899483,9899483,,295.25388,46.76136,6468.0,1.602,1.195,
KIC 10917681,10917681,,290.60745,48.357182,6072.0,0.923,1.005,
KIC 7882360,7882360,,288.59802,43.681469,6039.0,0.951,1.027,
KIC 10965740,10965740,,286.46616,48.495918,5627.0,3.05,1.456,
KIC 11187436,11187436,Kepler-957,290.15634,48.818989,4963.0,0.69,0.667,824.688
KIC 11285136,11285136,,284.86145,49.026989,5944.0,0.991,0.886,
KIC 11298815,11298815,,292.8053,49.040459,3841.0,0.509,0.538,
KIC 11342573,11342573,,287.66364,49.141499,6142.0,1.046,1.143,
KIC 7134626,7134626,,296.40149,42.651058,6461.0,2.225,1.266,
KIC 9823519,9823519,Kepler-1350,288.25058,46.679611,3698.0,0.444,0.464,340.691
KIC 11246161,11246161,,292.87418,48.936569,5749.0,0.988,1.02,
KIC 7047824,7047824,Kepler-1353,295.73535,42.576248,4852.0,0.804,0.778,593.384
KIC 4479633,4479633,,295.51825,39.593391,6045.0,0.955,1.038,
KIC 4952341,4952341,,298.5798,40.072182,7592.0,1.714,1.545,
KIC 8176019,8176019,,295.26447,44.09856,,,,
KIC 5385491,5385491,,297.59946,40.55901,5478.0,1.017,0.845,
KIC 5551504,5551504,,296.55164,40.71278,5340.0,1.504,0.917,
KIC 6421503,6421503,,283.0527,41.859711,5272.0,0.662,0.732,
KIC 10352333,10352333,,296.50354,47.486919,5519.0,0.921,0.837,
KIC 7538434,7538434,,294.80182,43.13324,5988.0,0.836,0.885,
KIC 10487119,10487119,,297.66129,47.62394,5754.0,0.943,1.061,
KIC 10621666,10621666,,299.06693,47.895191,5912.0,0.82,0.908,
KIC 10747439,10747439,,297.46457,48.088001,6075.0,0.969,1.048,
KIC 10813841,10813841,,297.66211,48.115898,6137.0,0.963,1.038,
KIC 10879656,10879656,,298.39774,48.212318,5220.0,0.642,0.63,
KIC 12253474,12253474,,288.63483,50.912231,6102.0,1.016,1.049,
KIC 12691412,12691412,,290.28619,51.834026,6596.0,1.721,1.474,
KIC 5024482,5024482,,295.32501,40.187576,6640.0,2.099,1.231,
KIC 8175131,8175131,,295.00293,44.09203,4702.0,0.67,0.654,
KIC 3764879,3764879,,295.77194,38.820042,6102.0,1.026,1.099,
KIC 7177766,7177766,,283.11136,42.76107,5267.0,2.935,1.42,
KIC 5513897,5513897,,284.37183,40.712971,5452.0,0.815,0.91,
KIC 10664416,10664416,,291.40079,47.924629,5128.0,0.668,0.647,
KIC 9602613,9602613,Kepler-1994,297.14883,46.296951,5495.0,0.961,0.932,241.991
KIC 5807769,5807769,Kepler-1289,296.38882,41.040569,5689.0,1.542,1.007,1053.57
KIC 11495766,11495766,,285.22531,49.424179,5910.0,0.94,1.032,
KIC 7282154,7282154,,291.82501,42.866508,5341.0,0.808,0.747,
KIC 3228988,3228988,,289.80423,38.370708,5767.0,0.837,0.927,
KIC 2970804,2970804,,286.10696,38.107628,5780.0,1.0,1.0,
KIC 7552701,7552701,,298.0513,43.164909,6557.0,1.406,1.287,
KIC 7418173,7418173,,281.57571,43.068111,5354.0,2.18,0.985,
KIC 3228804,3228804,,289.76114,38.353519,5514.0,0.826,0.926,
KIC 11045383,11045383,,298.21094,48.559158,5193.0,0.805,0.753,
KIC 11391667,11391667,,285.30206,49.263451,5591.0,5.618,1.942,
KIC 11392017,11392017,,285.53549,49.298439,5148.0,2.314,0.822,
KIC 3446451,3446451,,292.13745,38.599419,7089.0,2.584,1.693,
KIC 6603756,6603756,,291.09161,42.058479,5332.0,0.86,0.798,
KIC 8460600,8460600,,300.77478,44.487751,5089.0,0.693,0.666,
KIC 12121470,12121470,,296.80524,50.611061,6382.0,1.059,1.104,
KIC 3327993,3327993,,287.18005,38.414131,5900.0,0.951,1.065,
KIC 5467124,5467124,,296.67761,40.65369,5557.0,2.372,1.271,
KIC 7906739,7906739,,296.8017,43.654259,5912.0,0.87,0.875,
KIC 2860114,2860114,,293.06598,38.042011,5237.0,0.837,0.774,
KIC 8501062,8501062,,294.06879,44.574772,,,,
KIC 7199644,7199644,,291.5705,42.73772,6147.0,0.954,0.932,
KIC 11966253,11966253,,293.31952,50.364262,5670.0,0.843,0.732,
KIC 10275805,10275805,,292.55612,47.329079,5895.0,0.991,1.105,
KIC 5709889,5709889,,293.17096,40.99559,3945.0,0.519,0.515,
KIC 3119256,3119256,,292.05014,38.261002,6785.0,2.124,1.113,
KIC 9943435,9943435,,288.03152,46.827549,5769.0,0.812,0.9,
KIC 2442359,2442359,,291.22318,37.781551,5132.0,2.648,1.211,
KIC 7707742,7707742,,298.89954,43.395641,7131.0,1.83,1.483,
KIC 2010191,2010191,,290.38721,37.47818,5854.0,1.742,1.143,
KIC 5471675,5471675,,297.72037,40.6502,6552.0,3.44,1.694,
KIC 7601665,7601665,,289.88666,43.233879,6450.0,1.273,1.169,
KIC 8845574,8845574,,300.31107,45.02494,5075.0,0.67,0.649,
KIC 2021440,2021440,,292.96844,37.488689,5150.0,0.71,0.792,
KIC 3122985,3122985,,292.91891,38.206692,5811.0,0.998,0.772,
KIC 3248019,3248019,,294.59683,38.37014,6319.0,1.083,1.007,
KIC 3328026,3328026,,287.18961,38.43166,5917.0,1.0,1.088,
KIC 7116024,7116024,,291.24313,42.630169,6134.0,1.496,1.131,
KIC 2014991,2014991,,291.54935,37.40358,6418.0,3.049,1.541,
KIC 12885212,12885212,,290.17502,52.220341,4620.0,0.736,0.723,
KIC 5894073,5894073,,296.64755,41.177021,6246.0,1.092,1.18,
KIC 4245933,4245933,,286.40198,39.338799,4257.0,0.586,0.623,
KIC 7199724,7199724,,291.59357,42.719299,6108.0,0.997,1.072,
KIC 12935144,12935144,,290.233,52.33601,4878.0,0.843,0.82,
KIC 6185496,6185496,,284.36203,41.577549,4904.0,0.786,0.758,
KIC 6606438,6606438,Kepler-1883,291.92255,42.00256,6208.0,1.024,1.086,1377.61
KIC 9149789,9149789,,289.85889,45.503841,5465.0,0.766,0.857,
KIC 12170648,12170648,,296.96381,50.74538,5180.0,0.782,0.787,
KIC 7051984,7051984,,296.7019,42.508652,5653.0,2.183,1.216,
KIC 7282168,7282168,,291.83051,42.867729,5481.0,0.708,0.806,
KIC 9851943,9851943,,299.04044,46.670368,4938.0,0.718,0.697,
KIC 5773121,5773121,Kepler-1932,285.33154,41.063911,5278.0,0.815,0.911,713.733
KIC 2708420,2708420,,290.35153,37.94857,5806.0,0.893,0.935,
KIC 4814502,4814502,Kepler-1933,283.99509,39.917,5661.0,1.008,0.964,328.007
KIC 8142787,8142787,Kepler-439,280.80157,44.033989,5431.0,0.879,0.881,757.048
KIC 7613620,7613620,,293.67114,43.217609,5395.0,0.891,0.995,
KIC 3345675,3345675,,292.30069,38.402142,4315.0,0.668,0.688,
KIC 3654950,3654950,,293.83289,38.73634,5385.0,0.75,0.698,
KIC 3836453,3836453,,286.95236,38.918331,4955.0,0.735,0.771,
KIC 3952651,3952651,,291.04391,39.023685,5780.0,1.0,1.0,
KIC 3966262,3966262,,294.57605,39.03928,5541.0,0.777,0.852,
KIC 4144231,4144231,,287.83228,39.225552,5451.0,0.6,0.604,
KIC 9964670,9964670,,297.02771,46.874519,5150.0,0.784,0.878,
KIC 6209798,6209798,,293.33835,41.59024,6292.0,1.122,0.959,
KIC 6525249,6525249,,292.73456,41.90477,6147.0,1.096,1.193,
KIC 11075429,11075429,Kepler-1137,287.13028,48.665371,7121.0,1.972,1.521,921.778
KIC 11705004,11705004,Kepler-1806,287.53503,49.801659,5311.0,0.788,0.884,978.066
KIC 6137681,6137681,,295.83484,41.426971,5385.0,0.75,0.698,
KIC 11244682,11244682,Kepler-1699,292.13733,48.917191,5496.0,0.725,0.81,818.759
KIC 9655419,9655419,,294.34845,46.390755,6831.0,2.247,1.675,
KIC 5895158,5895158,Kepler-1532,296.9028,41.198189,5845.0,0.874,0.968,798.246
KIC 4947556,4947556,Kepler-1930,297.57712,40.02771,5083.0,0.844,0.844,275.694
KIC 7287028,7287028,,293.35861,42.80666,6032.0,0.929,1.014,
KIC 5471690,5471690,,297.72531,40.640789,6632.0,2.193,1.27,
KIC 8376848,8376848,,295.74899,44.37476,6198.0,1.005,1.072,
KIC 5350447,5350447,,287.92313,40.517269,5771.0,0.936,0.802,
KIC 8934103,8934103,Kepler-1538,283.3457,45.27446,5497.0,1.241,0.981,1125.3
KIC 7618364,7618364,,294.96756,43.277409,7757.0,2.783,1.941,
KIC 4150390,4150390,,289.68658,39.297199,5793.0,0.832,0.921,
KIC 4851464,4851464,,295.88867,39.911301,6124.0,1.028,1.097,
KIC 4913000,4913000,,288.4743,40.085678,6496.0,1.33,1.209,
KIC 4945877,4945877,,297.19012,40.027969,8867.0,2.245,1.789,
KIC 5110423,5110423,,294.83679,40.265598,5552.0,0.719,0.786,
KIC 2581191,2581191,,292.60025,37.832069,6198.0,1.005,1.072,
KIC 7379385,7379385,,296.4201,42.936989,6157.0,1.016,0.985,
KIC 6199702,6199702,,290.12604,41.59943,6257.0,1.022,1.079,
KIC 6307083,6307083,,297.63519,41.641869,5061.0,0.841,0.793,
KIC 6780158,6780158,,292.6597,42.272831,5238.0,1.883,0.894,
KIC 7199756,7199756,,291.60602,42.70372,3725.0,0.46,0.473,
KIC 7362696,7362696,,291.76056,42.92392,5457.0,0.779,0.712,
KIC 3865595,3865595,,295.29874,38.930496,3915.0,58.325,1.846,
KIC 9593528,9593528,,294.0282,46.201771,6296.0,1.249,1.005,
KIC 5195945,5195945,,294.31287,40.319721,4946.0,5.855,0.824,
KIC 7300182,7300182,,296.78555,42.880291,6174.0,0.939,1.014,
KIC 5288577,5288577,,295.50217,40.409943,6701.0,2.237,1.392,
KIC 11969988,11969988,,295.05322,50.34774,6208.0,1.975,1.337,
KIC 8483258,8483258,,286.54303,44.509621,6194.0,1.129,1.208,
KIC 4832225,4832225,,290.74661,39.91103,9464.0,2.184,2.272,
KIC 9009953,9009953,Kepler-1700,286.94971,45.353828,5814.0,1.248,1.055,717.597
KIC 7664272,7664272,,283.92191,43.37075,5327.0,0.896,0.836,
KIC 5302006,5302006,,298.29898,40.470329,6726.0,1.31,1.354,
KIC 5306720,5306720,,299.18491,40.484371,6167.0,1.107,1.2,
KIC 5389540,5389540,,298.46799,40.516678,4316.0,0.54,0.543,
KIC 5444384,5444384,,290.51465,40.693001,6033.0,1.046,1.153,
KIC 5450814,5450814,,292.55685,40.638191,4481.0,0.485,0.498,
KIC 7116519,7116519,,291.39743,42.61702,6039.0,1.005,1.108,
KIC 9635510,9635510,,284.6947,46.372589,6147.0,1.003,1.064,
KIC 8076630,8076630,,282.21646,43.93359,5506.0,0.688,0.682,
KIC 4077901,4077901,,296.42896,39.133759,5437.0,0.739,0.701,
KIC 10271691,10271691,,290.88684,47.326679,5227.0,0.643,0.701,
KIC 10544677,10544677,,295.54919,47.72657,6329.0,1.045,1.095,
KIC 7199883,7199883,,291.64459,42.722351,6063.0,1.004,1.035,
KIC 8552587,8552587,,288.90982,44.60836,6274.0,1.062,1.115,
KIC 6019872,6019872,,282.54819,41.334431,5088.0,0.727,0.699,
KIC 7679812,7679812,Kepler-1931,290.87228,43.333,6167.0,1.221,1.174,620.091
KIC 4864734,4864734,,298.69202,39.984039,5974.0,2.978,1.408,
KIC 7366501,7366501,,292.94757,42.904308,6072.0,0.923,1.005,
KIC 8282846,8282846,Kepler-1539,284.21942,44.268539,5064.0,0.864,0.811,748.326
KIC 5938970,5938970,Kepler-1540,283.34448,41.20174,4641.0,0.747,0.734,244.96
KIC 8381693,8381693,,297.13824,44.378078,6070.0,1.628,0.93,
KIC 4929299,4929299,,293.35101,40.059711,5761.0,1.046,0.855,
KIC 7375348,7375348,Kepler-508,295.40433,42.981422,5949.0,1.292,1.14,324.618
KIC 10223615,10223615,,297.39066,47.223869,,,,
KIC 3342463,3342463,,291.52365,38.40519,,,,
KIC 6680177,6680177,,288.24796,42.10746,,,,
KIC 5565497,5565497,,299.38208,40.758141,8468.0,1.91,1.728,
KIC 5730389,5730389,,298.0607,40.960732,5640.0,0.863,0.901,
KIC 5802478,5802478,,295.15802,41.047871,6171.0,0.91,0.944,
KIC 5942093,5942093,,284.87454,41.203651,5830.0,0.859,0.811,
KIC 5992270,5992270,,299.62198,41.212509,4338.0,0.609,0.594,
KIC 7117126,7117126,,291.58408,42.622181,5544.0,0.957,0.914,
KIC 4761060,4761060,,295.54712,39.861759,6739.0,2.702,1.371,
KIC 5479802,5479802,,299.34885,40.621319,5973.0,0.935,1.024,
KIC 5607631,5607631,,287.80338,40.890228,6098.0,0.838,0.938,
KIC 4951249,4951249,,298.35513,40.049938,6211.0,1.058,1.117,
KIC 9156585,9156585,,292.63052,45.574219,5648.0,0.912,0.934,
KIC 3121340,3121340,,292.52948,38.282848,5160.0,2.897,0.812,
KIC 8636434,8636434,Kepler-1533,295.97556,44.713451,6325.0,1.349,1.252,966.801
KIC 5952366,5952366,,289.27658,41.259754,5780.0,1.0,1.0,
KIC 6045250,6045250,,292.69489,41.336418,6370.0,1.106,1.148,
KIC 5598595,5598595,,283.75253,40.842369,5026.0,0.729,0.701,
KIC 6681233,6681233,,288.63629,42.138191,,,,
KIC 7296438,7296438,,295.87231,42.881149,,,,
KIC 7351237,7351237,,287.99161,42.933769,,,,
KIC 7436215,7436215,,289.11868,43.077389,,,,
KIC 9763754,9763754,,288.6496,46.597752,6116.0,0.782,0.845,
KIC 10216045,10216045,,294.98788,47.21986,,,,
KIC 8846163,8846163,,300.46063,45.01384,,,,
KIC 12366681,12366681,,296.08609,51.127041,,,,
KIC 1996399,1996399,,286.40833,37.426762,,,,
KIC 2697169,2697169,,287.20215,37.94825,,,,
KIC 8435247,8435247,,293.539,44.494919,5245.0,0.674,0.652,
KIC 8332986,8332986,,301.70923,44.281792,5328.0,0.857,0.845,
KIC 9425139,9425139,,298.99509,45.909512,5716.0,1.155,1.083,
KIC 6364327,6364327,,291.91602,41.74741,5772.0,0.867,0.777,
KIC 6762829,6762829,,286.83035,42.279202,5623.0,1.841,1.038,
KIC 7369865,7369865,,293.93689,42.961559,5432.0,3.581,1.658,
KIC 7593110,7593110,,286.42599,43.264278,5759.0,0.892,0.908,
KIC 7810483,7810483,Kepler-1676,287.23676,43.567211,6127.0,1.637,1.109,
KIC 7117147,7117147,,291.5907,42.669891,6194.0,1.718,1.008,
KIC 6634133,6634133,,298.64505,42.089851,5213.0,0.917,0.832,
KIC 7021534,7021534,,287.79138,42.574108,6075.0,0.916,0.991,
KIC 9277210,9277210,,290.30646,45.750931,6701.0,2.236,1.472,
KIC 9728465,9728465,,298.26663,46.412991,6385.0,2.327,1.458,
KIC 7124026,7124026,,293.67361,42.666458,6089.0,0.95,1.031,
KIC 7200485,7200485,,291.82965,42.737679,5858.0,0.849,0.94,
KIC 4544572,4544572,,285.87708,39.690689,6106.0,0.966,1.043,
KIC 5738634,5738634,,299.70813,40.921909,6103.0,3.358,1.522,
KIC 10152836,10152836,,296.03668,47.180119,5893.0,0.941,0.981,
KIC 10651816,10651816,,285.37082,47.946499,5532.0,0.896,0.904,
KIC 7367164,7367164,,293.13828,42.965141,5815.0,0.877,0.973,
KIC 6964043,6964043,,296.01447,42.422279,5582.0,0.905,0.832,
KIC 3644523,3644523,,291.16675,38.78019,6075.0,0.969,1.048,
KIC 11909686,11909686,,289.1524,50.253159,5813.0,1.164,1.057,
KIC 12644769,12644769,,289.07571,51.757439,4451.0,0.62,0.633,
KIC 6233890,6233890,,299.12851,41.58754,6106.0,3.09,1.495,
KIC 7671950,7671950,,287.81284,43.362549,6194.0,1.069,1.161,
KIC 7918172,7918172,,299.59305,43.693089,5209.0,1.595,0.927,
KIC 8009496,8009496,,283.19598,43.890968,6079.0,2.163,1.164,
KIC 8081187,8081187,Kepler-1025,284.51019,43.961658,4907.0,19.53,3.573,803.776
KIC 8111919,8111919,,296.52682,43.960232,5792.0,1.567,1.024,
KIC 8127586,8127586,,300.43979,43.930729,6047.0,1.05,0.998,
KIC 7117485,7117485,,291.70721,42.61335,5894.0,0.784,0.863,
KIC 2860793,2860793,,293.20831,38.003319,6712.0,1.846,1.411,
KIC 3851130,3851130,,291.69385,38.964069,5609.0,1.348,0.862,
KIC 7257363,7257363,,282.04895,42.871109,5266.0,0.741,0.83,
KIC 11922722,11922722,,295.98465,50.248199,5523.0,0.981,0.871,
KIC 7203326,7203326,,292.73621,42.75972,6078.0,1.119,0.905,
KIC 8030339,8030339,Kepler-1534,292.39539,43.869068,5638.0,0.883,0.875,
KIC 9899414,9899414,,295.2269,46.772869,6046.0,0.972,1.053,
KIC 5471059,5471059,,297.55859,40.63467,5524.0,0.847,0.908,
KIC 7458309,7458309,,295.5495,43.047722,6024.0,0.849,0.934,
KIC 7777372,7777372,,298.83673,43.44302,5979.0,0.998,0.999,
KIC 7377200,7377200,,295.87747,42.983631,6061.0,1.653,1.056,
KIC 6312314,6312314,,298.84198,41.631531,5874.0,0.997,0.867,
KIC 6387969,6387969,,298.20071,41.72921,,,,
KIC 6468337,6468337,,298.55786,41.82563,6061.0,1.653,1.056,
KIC 9084778,9084778,,290.28094,45.46426,4920.0,0.591,0.588,
KIC 10357040,10357040,,297.89221,47.498089,6045.0,0.955,1.038,
KIC 10514429,10514429,,281.27295,47.774399,5837.0,1.366,0.946,
KIC 7747103,7747103,,289.7308,43.497368,6098.0,1.618,1.119,
KIC 8127607,8127607,,300.4472,43.929539,5238.0,0.752,0.836,
KIC 8129042,8129042,,300.79263,43.96748,6988.0,1.67,1.459,
KIC 8180020,8180020,,296.49356,44.052319,5533.0,0.795,0.876,
KIC 8223328,8223328,,287.8569,44.102798,5514.0,0.871,0.883,
KIC 8444552,8444552,,296.60672,44.472919,5592.0,0.771,0.703,
KIC 6342333,6342333,Kepler-1789,282.86319,41.79668,5436.0,0.888,0.92,611.461
KIC 10674871,10674871,,295.46463,47.90807,5952.0,0.907,0.989,
KIC 6032517,6032517,,288.51645,41.381962,6092.0,1.028,1.091,
KIC 4768846,4768846,,297.13702,39.891842,6168.0,2.572,1.358,
KIC 8260234,8260234,,299.78946,44.171001,5193.0,0.755,0.713,
KIC 7210749,7210749,,294.85565,42.790672,5780.0,1.0,1.0,
KIC 9282769,9282769,,292.60968,45.708881,6388.0,1.223,1.045,
KIC 7777416,7777416,,298.8461,43.403519,5718.0,0.863,0.96,
KIC 7597005,7597005,,288.08798,43.208172,6063.0,1.012,1.117,
KIC 5479717,5479717,,299.33234,40.69503,5176.0,0.695,0.768,
KIC 3764714,3764714,,295.73996,38.862282,6487.0,2.817,1.439,
KIC 11392618,11392618,,285.90607,49.287521,5725.0,1.384,0.981,
KIC 4474645,4474645,,294.34216,39.562359,5798.0,0.767,0.833,
KIC 4570949,4570949,Kepler-76,294.19211,39.618999,6309.0,1.412,1.15,822.96
KIC 4927315,4927315,,292.79404,40.074581,6215.0,1.052,1.111,
KIC 4928119,4928119,,293.02615,40.073051,6197.0,1.035,1.096,
KIC 11518201,11518201,,296.68945,49.44677,5621.0,0.879,0.921,
KIC 10861608,10861608,,291.97382,48.26231,,,,
KIC 10934313,10934313,,297.53055,48.38747,6268.0,1.1,1.188,
KIC 7516809,7516809,,288.24615,43.135841,5834.0,0.797,0.875,
KIC 6115516,6115516,,289.25012,41.484871,6249.0,1.076,1.13,
KIC 9758032,9758032,,285.20944,46.540909,5376.0,0.73,0.811,
KIC 5640511,5640511,,297.15662,40.898788,,,,
KIC 7336093,7336093,,281.11948,42.9944,,,,
KIC 10196493,10196493,,286.65024,47.242329,,,,
KIC 7812455,7812455,,288.17081,43.501202,6455.0,1.101,1.136,
KIC 9520443,9520443,,289.20413,46.133911,5072.0,0.747,0.837,
KIC 10601465,10601465,,292.44772,47.858952,,,,
KIC 7461307,7461307,,296.23697,43.014149,5747.0,0.907,0.968,
KIC 7269881,7269881,,287.73572,42.823421,5088.0,0.741,0.762,
KIC 6974658,6974658,,298.29819,42.434368,5552.0,1.03,0.863,
KIC 10964265,10964265,,285.5463,48.410851,6173.0,1.083,1.045,
KIC 9823564,9823564,,288.28134,46.637909,,,,
KIC 9532424,9532424,,294.29269,46.159409,5754.0,1.097,0.976,
KIC 9950316,9950316,,291.38715,46.88168,5637.0,0.821,0.902,
KIC 6028860,6028860,,286.92056,41.371151,5614.0,0.777,0.858,
KIC 6778019,6778019,,292.01581,42.286572,6116.0,1.084,1.181,
KIC 4571536,4571536,,294.34518,39.683929,5334.0,0.733,0.712,
KIC 10904004,10904004,,282.34305,48.340778,4786.0,0.77,0.751,
KIC 3336283,3336283,,289.82767,38.442619,6459.0,1.038,1.042,
KIC 5695904,5695904,,288.71979,40.986141,3553.0,0.368,0.383,
KIC 1725415,1725415,,292.3407,37.279861,,,,
KIC 11304987,11304987,,295.56525,49.073139,5907.0,0.964,1.048,
KIC 11709423,11709423,,289.92453,49.882469,5390.0,0.777,0.755,
KIC 8758136,8758136,,293.61337,44.975422,6072.0,0.988,1.05,
KIC 12405333,12405333,Kepler-1409,290.08478,51.208599,5231.0,0.86,0.808,694.89
KIC 10617638,10617638,,297.94925,47.816399,5862.0,1.049,1.064,
KIC 12833566,12833566,,289.46765,52.19809,6456.0,3.03,1.53,
KIC 9153554,9153554,,291.38965,45.527168,5970.0,0.908,0.996,
KIC 8161830,8161830,,290.41016,44.063541,,,,
KIC 6461850,6461850,,297.10153,41.876862,5257.0,0.639,0.713,
KIC 7613246,7613246,,293.57123,43.28648,6024.0,0.831,0.916,
KIC 11551715,11551715,,287.62094,49.584629,,,,
KIC 2715695,2715695,Kepler-1899,292.03348,37.974548,4791.0,0.742,0.759,711.509
KIC 6312171,6312171,,298.81332,41.627468,,,,
KIC 10665043,10665043,,291.63528,47.932018,,,,
KIC 12352520,12352520,Kepler-1904,288.87436,51.154121,3805.0,0.497,0.526,270.854
KIC 7455981,7455981,Kepler-1425,294.95102,43.012428,5559.0,0.79,0.714,863.873
KIC 7107561,7107561,,288.49313,42.692478,6143.0,1.877,1.312,
KIC 9605552,9605552,,297.96048,46.227921,3773.0,0.35,0.376,
KIC 11237332,11237332,,288.27991,48.950523,6131.0,2.142,0.997,
KIC 8669092,8669092,,281.89307,44.827461,6287.0,3.177,1.328,
KIC 7885494,7885494,,289.94556,43.665932,5910.0,0.94,1.032,
KIC 5281714,5281714,,293.74628,40.41774,6429.0,1.177,1.189,
KIC 5283728,5283728,,294.27399,40.462078,5726.0,0.829,0.923,
KIC 5289857,5289857,,295.78586,40.479771,4995.0,1.703,0.95,
KIC 5303185,5303185,,298.51175,40.459469,6091.0,0.967,1.045,
KIC 5308777,5308777,,299.5773,40.498508,4877.0,9.214,2.138,
KIC 5364090,5364090,,292.29816,40.52459,4206.0,0.535,0.525,
KIC 5370944,5370944,,294.22009,40.592232,,,,
KIC 5374838,5374838,,295.21255,40.516911,6313.0,1.246,1.31,
KIC 6364143,6364143,,291.85382,41.764042,6011.0,0.902,0.988,
KIC 6364307,6364307,,291.91058,41.75098,5558.0,0.722,0.822,
KIC 6366559,6366559,,292.633,41.749222,5413.0,1.403,0.918,
KIC 6367663,6367663,,292.99493,41.712749,6318.0,1.216,0.951,
KIC 6368905,6368905,,293.36475,41.788891,5150.0,0.696,0.77,
KIC 6369548,6369548,,293.56754,41.763981,5048.0,8.611,2.571,
KIC 6372194,6372194,,294.33594,41.747532,5330.0,0.713,0.797,
KIC 6387557,6387557,,298.11356,41.712749,5784.0,1.143,1.019,
KIC 3958301,3958301,,292.55002,39.023811,6289.0,1.02,1.075,
KIC 5353137,5353137,,288.89194,40.563141,3554.0,0.37,0.386,
KIC 4932689,4932689,,294.23987,40.012131,6434.0,1.138,1.169,
KIC 5294945,5294945,,296.87976,40.45536,6068.0,1.061,0.995,
KIC 7742408,7742408,Kepler-1697,287.66339,43.471451,4928.0,1.688,0.962,247.771
KIC 3968809,3968809,,295.18872,39.01865,6362.0,1.144,1.221,
KIC 3970397,3970397,,295.51279,39.08849,,,,
KIC 3973549,3973549,,296.10361,39.056221,5999.0,0.95,0.952,
KIC 3974928,3974928,,296.35797,39.078579,4985.0,2.633,0.865,
KIC 4058169,4058169,,291.8476,39.143566,6401.0,1.41,1.084,
KIC 4063943,4063943,,293.29913,39.188389,,,,
KIC 4068391,4068391,,294.40005,39.171589,5978.0,1.032,0.995,
KIC 4071638,4071638,,295.16342,39.180187,3860.0,74.32,1.792,
KIC 5390913,5390913,,298.7175,40.541969,6423.0,1.246,0.747,
KIC 5391911,5391911,,298.89673,40.578529,4475.0,20.237,1.939,
KIC 5394585,5394585,,299.38071,40.535671,6768.0,2.302,1.349,
KIC 5397106,5397106,,299.84723,40.507771,,,,
KIC 5425643,5425643,,282.9101,40.646519,,,,
KIC 5425908,5425908,,283.03632,40.644989,,,,
KIC 5428199,5428199,,284.19696,40.641251,3697.0,0.423,0.441,
KIC 5436415,5436415,,287.8595,40.687962,5079.0,3.792,1.442,
KIC 6387887,6387887,,298.18536,41.733952,10921.0,3.701,3.235,
KIC 6425377,6425377,,284.98364,41.881351,5094.0,6.247,1.902,
KIC 6428602,6428602,,286.52179,41.822239,5059.0,7.322,1.454,
KIC 6442735,6442735,,291.76413,41.86013,5919.0,0.94,0.991,
KIC 6443093,6443093,,291.89035,41.816818,5731.0,0.958,0.921,
KIC 6447372,6447372,,293.28232,41.854622,4694.0,0.574,0.575,
KIC 6461675,6461675,,297.05902,41.84322,4994.0,5.205,0.821,
KIC 6509282,6509282,,287.33041,41.974899,4998.0,16.187,3.192,
KIC 8231667,8231667,Kepler-1926,291.19882,44.166241,5256.0,0.832,0.768,667.405
